Авторы,Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Цитирования,DOI,Ссылка,Организации,Авторы организаций,Краткое описание,Ключевые слова автора,Ключевые слова указателя,Спонсоры,Издатель,Название конференции,Дата конференции,Место проведения конференции,Код конференции,ISSN,ISBN,CODEN,Язык оригинального документа,Сокращенное название источника,Тип документа,Источник,EID
"Solntcev V.A.","Difference equation of excitation periodic waveguide unsteady axial current",2010,"Conference Proceedings - International Conference on Actual Problems of Electron Devices Engineering, APEDE'2010",,, 5624024,"82","86",,,10.1109/APEDE.2010.5624024,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650581390&doi=10.1109%2fAPEDE.2010.5624024&partnerID=40&md5=c15fed719312bcd93174966db23f9431","Moscow State Institute of Electronics and Mathematics, Russian Federation","Solntcev, V.A., Moscow State Institute of Electronics and Mathematics, Russian Federation","The difference equation of excitation of periodic waveguide by a non-stationary longitudinal current is deduced. The application opportunity for the description of an electron-wave interaction in the passband and stopband of slow-wave structures is demonstrated. ©2010 IEEE.",,"Axial currents; Electron-wave interactions; Nonstationary; Pass bands; Periodic waveguides; Slow wave structures; Stopband; Difference equations; Electron devices; Waveguides",,,"International Conference on Actual Problems of Electron Devices Engineering, APEDE'2010","22 September 2010 through 23 September 2010","Saratov",82906,,9781424469550,,"Russian","Conf. Proc. - Int. Conf. Actual Probl. Electron Devices Eng., APEDE",Conference Paper,Scopus,2-s2.0-78650581390
"Babin M.A., Kuznetsov S.O.","On links between concept lattices and related complexity problems",2010,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","5986 LNAI",,,"138","144",,3,10.1007/978-3-642-11928-6_10,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650331064&doi=10.1007%2f978-3-642-11928-6_10&partnerID=40&md5=ef2cb25b061f8fc6c84dbe689064f515","Higher School of Economics, State University, Myasnitskaya 20, 101000 Moscow, Russian Federation","Babin, M.A., Higher School of Economics, State University, Myasnitskaya 20, 101000 Moscow, Russian Federation; Kuznetsov, S.O., Higher School of Economics, State University, Myasnitskaya 20, 101000 Moscow, Russian Federation","Several notions of links between contexts - intensionally related concepts, shared intents, and bonds, as well as interrelations thereof - are considered. Algorithmic complexity of the problems related to respective closure operators are studied. The expression of bonds in terms of shared intents is given. © Springer-Verlag Berlin Heidelberg 2010.",,"Algorithmic complexity; Closure operators; Concept Lattices; Information analysis; Parallel processing systems","Inst. Super. Inf. Appl. Manage. (ISIAM)",,"8th International Conference on Formal Concept Analysis, ICFCA 2010","15 March 2010 through 18 March 2010","Agadir",82921,03029743,3642119271; 9783642119279,,"English","Lect. Notes Comput. Sci.",Conference Paper,Scopus,2-s2.0-78650331064
"Klimushkin M., Obiedkov S., Roth C.","Approaches to the selection of relevant concepts in the case of noisy data",2010,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","5986 LNAI",,,"255","266",,41,10.1007/978-3-642-11928-6_18,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650400336&doi=10.1007%2f978-3-642-11928-6_18&partnerID=40&md5=745c582ea319409969e9edb992e8c88b","Higher School of Economics, Moscow, Russian Federation; Centre d'Analyse et de Mathématique Sociales EHESS, CAMS (CNRS/EHESS), 54 Bd Raspail, F-75006 Paris, France","Klimushkin, M., Higher School of Economics, Moscow, Russian Federation; Obiedkov, S., Higher School of Economics, Moscow, Russian Federation; Roth, C., Centre d'Analyse et de Mathématique Sociales EHESS, CAMS (CNRS/EHESS), 54 Bd Raspail, F-75006 Paris, France","Concept lattices built on noisy data tend to be large and hence hard to interpret. We introduce several measures that can be used in selecting relevant concepts and discuss how they can be combined together. We study their performance in a series of experiments. © Springer-Verlag Berlin Heidelberg 2010.",,"Concept Lattices; Noisy data; Information analysis","Inst. Super. Inf. Appl. Manage. (ISIAM)",,"8th International Conference on Formal Concept Analysis, ICFCA 2010","15 March 2010 through 18 March 2010","Agadir",82921,03029743,3642119271; 9783642119279,,"English","Lect. Notes Comput. Sci.",Conference Paper,Scopus,2-s2.0-78650400336
"Belohlavek R., Kuznetsov S.O.","Erratum to Preface to special issue on concept lattice and their applications 2008 (Ann Math Artif Intell, 10.1007/s10472-010-9214-x)",2010,"Annals of Mathematics and Artificial Intelligence","59","2",,"273","",,,10.1007/s10472-010-9221-y,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79151485919&doi=10.1007%2fs10472-010-9221-y&partnerID=40&md5=73ffc42f5bed1a2b078076c35afd366e","Department of Computer Science, Palacky University, Olomouc 17, listopadu 12, 77146, Olomouc, Czech Republic; Higher School of Economics, Applied Mathematics and Information Science, Pokrovskii bd., 11, Moscow, 109028, Russian Federation","Belohlavek, R., Department of Computer Science, Palacky University, Olomouc 17, listopadu 12, 77146, Olomouc, Czech Republic; Kuznetsov, S.O., Higher School of Economics, Applied Mathematics and Information Science, Pokrovskii bd., 11, Moscow, 109028, Russian Federation",[краткое описание не найдено],,,,,,,,,10122443,,,"English","Ann. Math. Artif. Intell.",Erratum,Scopus,2-s2.0-79151485919
"Dedushenko N.","Violation of the phase space general covariance as a diffeomorphism anomaly in quantum mechanics",2010,"Journal of High Energy Physics","2010","10", 054,"","",,,10.1007/JHEP10(2010)054,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649689324&doi=10.1007%2fJHEP10%282010%29054&partnerID=40&md5=265f1d29616caaec79619266d3a7a877","Department of Physics, Taras Shevchenko University of Kiev, 2 Glushkova Av., Kiev, Ukraine; Department of Mathematics, Higher School of Economics, 7 Vavilova Str., Moscow, Russian Federation","Dedushenko, N., Department of Physics, Taras Shevchenko University of Kiev, 2 Glushkova Av., Kiev, Ukraine, Department of Mathematics, Higher School of Economics, 7 Vavilova Str., Moscow, Russian Federation","We consider a topological quantum mechanics described by a phase space path integral and study the 1-dimensional analog for the path integral representation of the Kontsevich formula. We see that the naive bosonic integral possesses divergences, that it is even naively non-invariant and thus is ill-defined. We then consider a superextension of the theory which eliminates the divergences and makes the theory naively invariant. This super-extension is equivalent to the correct choice of measure and was discussed in the literature. We then investigate the behavior of this extended theory under diffeomorphisms of the extended phase space and despite of its naive invariance find out that the theory possesses anomaly under nonlinear diffeomorphisms. We localize the origin of the anomaly and calculate the lowest nontrivial anomalous contribution.","Anomalies in field and string theories; Field theories in lower dimensions; Superspaces; Topological field theories",,,,,,,,11266708,,,"English","J. High Energy Phys.",Article,Scopus,2-s2.0-78649689324
"Savchenko A.V.","Image retrieval using minimum information discrimination criterion",2010,"Proceedings of the IASTED International Conference on Automation, Control, and Information Technology - Control, Diagnostics, and Automation, ACIT-CDA 2010",,,,"345","350",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960336551&partnerID=40&md5=329643222e9ae3b899c5f27c316607b3","State University Higher School of Economics, B. Pecherskaya St. 25/12, Nizhniy Novgorod, Russian Federation","Savchenko, A.V., State University Higher School of Economics, B. Pecherskaya St. 25/12, Nizhniy Novgorod, Russian Federation","The problem of automatic image recognition based on the minimum information discrimination principle is formulated and solved. Discrimination calculation in the Kullback-Leibler information metric based on colour histograms comparison is proposed. It's combined with a method of directed enumeration of the set of alternatives as opposed to the method of complete enumeration of competing hypotheses. Results of an experimental study of the discrimination in the problem of face images recognition are presented. It is shown that the proposed algorithm is characterized by increased accuracy and reliability of automatic image recognition.","Diagnostics; Image recognition; Method of directed enumeration","Discrimination criteria; Experimental studies; Face images; Kullback-Leibler information metric; Method of directed enumeration; Minimum information; Algorithms; Automation; Face recognition; Image recognition; Plasma diagnostics; Information technology",,,"IASTED International Conference on Automation, Control, and Information Technology - Control, Diagnostics, and Automation, ACIT-CDA 2010","15 June 2010 through 18 June 2010","Novosibirsk",89101,,9780889868427,,"English","Proc. IASTED Int. Conf. Autom., Control, Inf. Technol. - Control, Diagn., Autom., ACIT-CDA",Conference Paper,Scopus,2-s2.0-79960336551
"Chernyshkova E.","Aggression, reflection and ""significant other"" phenomenon",2010,"World Academy of Science, Engineering and Technology","42",,,"652","653",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871339661&partnerID=40&md5=c68c855d4e8bbed65080cfe6d0209f5a","Department of Psychology, University - Higher School of Economics, Moscow, Zip code 125319, Russian Federation","Chernyshkova, E., Department of Psychology, University - Higher School of Economics, Moscow, Zip code 125319, Russian Federation","The paper features an investigation of reflexive process specifics in context of ""significant other"" phenomenon. A question about their influence peculiarities at aggressive behavior nature is replied. Tendencies of direction and type frustration response developments in detail are described. Original experiment for these phenomena study is submitted. It is based on modifications of the ""Picture - Frustration Study"" test by S. Rosenzweig.","'Significant other' Phenomenon; Aggression; Aggressive reaction; Reflection","'Significant other' Phenomenon; Aggression; Aggressive reaction; Reflection; Technology; Engineering",,,,,,,2010376X,,,"English","World Acad. Sci. Eng. Technol.",Article,Scopus,2-s2.0-84871339661
"Mikhail B.","Optimizing the process of implementing a new corporative system to the end user",2010,"2010 6th Central and Eastern European Software Engineering Conference, CEE-SECR 2010",,, 5783170,"170","174",,,10.1109/CEE-SECR.2010.5783170,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959629010&doi=10.1109%2fCEE-SECR.2010.5783170&partnerID=40&md5=ea415bc4b8bad934d2fd827cccb938c7","State University - Higher School of Economics, Russian Federation","Mikhail, B., State University - Higher School of Economics, Russian Federation","The process of migrating from one corporative product to another has some difficulties. Especially, these issues are noticeable if the outdated system worked for a long period of time; it stores a great amount of data, which need to be transferred to the new system. Sometimes the data formats are fully incompatible. In most cases data migration is possible; however there is no way to move data from old to new system completely. This paper describes the intermediate period, when the new system is being implemented and the old system is being retired. Two approaches of organizing the system replacement process are suggested on condition that the old data will be entirely saved to new system: parallel exploitation of outdated and new systems and preliminary data conversion. The classification of data conversion processes is provided in this work. The conversion organization process is analyzed from two perspectives - labour coefficients and possibilities of automation. The following types of conversion are described: automatic and half-automatic. Based on the given classification, the practical experience of data conversion in the information system renewal process is revealed. The basic software tools for automated data conversion are described. One of the developed tools for this task is a special data conversion framework written in C# for the Microsoft .NET platform. This framework implements ETL principles (extract, transform and load) and allows developers to quickly build application for data conversion. The classified data is the address set describing the political division?s objects in Russian Federation?s subjects. The classification process is consists in determining the address code from the standard classifier based on the textual address description. This approach allows developers to reduce time costs required for conversion of large data mass. After the description of automatic data conversion products developed for address classification, the advantages of their usage in system renewal process are pointed out at the end of paper. © 2010 IEEE.","data conversion; Deployment; ETL process; object classification problem; process classification system","Data conversion; Deployment; ETL process; Object classification; Process classification; Classification (of information); Metadata; Software engineering; Data handling",,,"2010 6th Central and Eastern European Software Engineering Conference, CEE-SECR 2010","13 October 2010 through 15 October 2010","Moscow",85262,,9781457706066,,"Russian","Cent. East. Eur. Softw. Eng. Conf., CEE-SECR",Conference Paper,Scopus,2-s2.0-79959629010
"Babin M.A., Kuznetsov S.O.","Recognizing pseudo-intents is coNP-complete",2010,"CEUR Workshop Proceedings","672",,,"294","301",,17,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889567832&partnerID=40&md5=f14864e10253c88accdcbdee43f4dd7e","State University Higher School of Economics, Myasnitskaya 20, 101000 Moscow, Russian Federation","Babin, M.A., State University Higher School of Economics, Myasnitskaya 20, 101000 Moscow, Russian Federation; Kuznetsov, S.O., State University Higher School of Economics, Myasnitskaya 20, 101000 Moscow, Russian Federation","The problem of recognizing whether a subset of attributes is a pseudo-intent is shown to be coNP-hard, which together with the previous results means that this problem is coNP-complete. Recognizing an essential intent is shown to be NP-complete and recognizing the lectically largest pseudo-intent is shown to be coNP-hard.",,"NP Complete; Information analysis",,,"7th International Conference on Concept Lattices and Their Applications, CLA 2010","19 October 2010 through 21 October 2010","Sevilla",101336,16130073,,,"English","CEUR Workshop Proc.",Conference Paper,Scopus,2-s2.0-84889567832
"Hachaturova M.","The role of personality traits in choosing of coping strategies in an organizational conflict",2010,"World Academy of Science, Engineering and Technology","42",,,"722","723",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871267704&partnerID=40&md5=76acbbb19ebb65070d708c4f3cba85f7","Department of Psychology, University - Higher School of Economics, Moscow, Zip code 129323, Russian Federation","Hachaturova, M., Department of Psychology, University - Higher School of Economics, Moscow, Zip code 129323, Russian Federation","The article is devoted to personality traits in choosing coping strategies of behavior in an organizational conflict. The research deals with such personality traits as empathy, locus of control, anxiety, self-appraisal and temperament. The author examines the influence of gender, age, working and managerial experience of an employee on the choice of coping strategies.","Anxiety; Coping strategy; Empathy; Organizational conflict","Anxiety; Coping strategies; Empathy; Locus of control; Managerial experiences; Organizational conflict; Personality traits; Technology; Engineering",,,,,,,2010376X,,,"English","World Acad. Sci. Eng. Technol.",Article,Scopus,2-s2.0-84871267704
"Novokreshchenova A., Shabanova M., Zaytsev D., Belyaeva N.","Linguistic processing in lattice-based taxonomy construction",2010,"CEUR Workshop Proceedings","672",,,"350","355",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889578640&partnerID=40&md5=0d2c6b2881f63b205a69f7b9037a23db","Higher School of Economics, Moscow, Russian Federation","Novokreshchenova, A., Higher School of Economics, Moscow, Russian Federation; Shabanova, M., Higher School of Economics, Moscow, Russian Federation; Zaytsev, D., Higher School of Economics, Moscow, Russian Federation; Belyaeva, N., Higher School of Economics, Moscow, Russian Federation","Building a lattice-based taxonomy over a text corpus with formal concept analysis (FCA) methods requires preliminary text processing that would enable construction of a context. We consider several natural language processing methods aimed at automatic attribute acquisition from texts. In particular, we derive attributes of three types: frequent words, latent topics and named entities. Afterwards, we construct a context for each type taking documents in the corpus as a set of objects. Then the corresponding concept lattices are built and pruned with the help of stability index in order to improve the readability of the diagrams. The proposed technique is illustrated on a collection of 26 texts in English dealing with political domain. In this case, the technique serves as a tool for deeper understanding of the interests of different political actors producing political texts by clarifying the connections between notions they use in them.",,"Concept Lattices; Formal concept analyses (FCA); Lattice-based; Linguistic processing; Named entities; NAtural language processing; Stability indices; Text corpora; Natural language processing systems; Taxonomies; Text processing; Information analysis",,,"7th International Conference on Concept Lattices and Their Applications, CLA 2010","19 October 2010 through 21 October 2010","Sevilla",101336,16130073,,,"English","CEUR Workshop Proc.",Conference Paper,Scopus,2-s2.0-84889578640
"Alexandrov G.","Developing a model for detecting growth pulses in the observations and scenarios of CO 2 emissions",2010,"Modelling for Environment's Sake: Proceedings of the 5th Biennial Conference of the International Environmental Modelling and Software Society, iEMSs 2010","1",,,"149","152",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858665874&partnerID=40&md5=8b8475bdb803ada18193d161639c75c3","Faculty of Applied Mathematics, Moscow State Institute of Electronics and Mathematics, Bolshoi Trekhsvyatitelskii 3, Moscow 109028, Russian Federation","Alexandrov, G., Faculty of Applied Mathematics, Moscow State Institute of Electronics and Mathematics, Bolshoi Trekhsvyatitelskii 3, Moscow 109028, Russian Federation","Sustainability of a pathway for world development is currently appraised on the basis of CO 2 emissions presumed by the pathway. Numerous scenarios of emissions growth presume that it cannot grow infinitely: there are certain limits that may not or must not be exceeded. The purpose of my work is to develop a model for analyzing the limits to CO 2 emissions growth and to consider how they may change in the future. Applying the theory of pulsing logistic growth, I assume that CO 2 emissions grow in agreement with the logistic equation where carrying capacity, K (or limit to growth) is a function of time, K(t). In the classic theory of pulsing logistic growth K (t) is supposed to be a stepwise function. In contrast, I suppose that it should be a continuous function and derive it from observations. In order to find changing limits to growth (that is, K(t)), I solve inverse Cauchy problem. Results allow us to detect two pulses of logistic growth. The first pulse culminated in 1930s. The second pulse recently entered the culmination phase. Unexpected acceleration of emissions growth observed in 2000-2004 may indicate to the start of the third pulse, which carrying capacity is even higher. Obviously, constructing a scenario of emissions growth one should pay attention to the fact that limits to their growth does not remain constant. They were and would be changing because of technological advances. Software, developed in course of this study, open wide opportunity for using the theory of pulsing growth in evaluating scenarios of CO 2 emissions growth.",,"Cauchy problems; Continuous functions; Function of time; Logistic equations; Logistic growth; Technological advances; Inverse problems; Sustainable development; Teaching; Carbon dioxide","Beijing Development Area Co., Ltd.;Computing Research Laboratory for the Environment (CRLE);Open Geospatial Consortium, Inc. (OGC);International Symposium on Environmental Software Systems (ISESS);Peking University;U.S. Geological Survey-Climateand Land Use Change Branch (USGS)",,"5th Biennial Conference of the International Environmental Modelling and Software Society: Modelling for Environment's Sake, iEMSs 2010","5 July 2010 through 8 July 2010","Ottawa, ON",88988,,9788890357411,,"English","Model. Environ. Sake: Proc. Bienn. Conf. Int. Environ. Model. Softw. Soc., iEMSs",Conference Paper,Scopus,2-s2.0-84858665874
"Isaev D.","Information support of corporate governance and strategic management using analytical software",2010,"Proceedings - 2010 IEEE International Conference on Intelligent Computing and Intelligent Systems, ICIS 2010","3",, 5658550,"44","48",,3,10.1109/ICICISYS.2010.5658550,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651273051&doi=10.1109%2fICICISYS.2010.5658550&partnerID=40&md5=4196fb8e4a03a87b9b684818c9313f04","Business Analytics Department, Higher School of Economics (HSE), Moscow, Russian Federation","Isaev, D., Business Analytics Department, Higher School of Economics (HSE), Moscow, Russian Federation","In the paper an information aspect of corporate governance and strategic management is considered. Relying on analysis of merits and limitations of current developments the concept of performance management information support system and the appropriate modeling approach are proposed. Finally, the possibilities of use of analytical information systems for corporate governance and strategic management are discussed. ©2010 IEEE.","Analytical applications; Business intelligence; Corporate governance; Performance management systems; Strategic management","Analytical applications; Business intelligence; Corporate governance; Performance management systems; Strategic management; Industrial management; Intelligent systems; Management science; Strategic planning; Intelligent computing","IEEE Beijing Section;Xiamen University;Fujian Association for Artificial Intelligence (FAAI);Shanghai Jiaotong University;Iwate Prefectural University",,"2010 IEEE International Conference on Intelligent Computing and Intelligent Systems, ICIS 2010","29 October 2010 through 31 October 2010","Xiamen",83398,,9781424465835,,"English","Proc. - IEEE Int. Conf. Intelligent Comput. Intelligent Syst., ICIS",Conference Paper,Scopus,2-s2.0-78651273051
"Larionova M.","The new partnership between multilateral organizations and the G8",2010,"Making Global Economic Governance Effective: Hard and Soft Law Institutions in a Crowded World",,,,"43","62",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900056851&partnerID=40&md5=c1ed4089d93344940ded7d3ae8168ea2","International Organizations Research Institute, National Training Foundation, State University-Higher School of Economics, Moscow, Russian Federation","Larionova, M., International Organizations Research Institute, National Training Foundation, State University-Higher School of Economics, Moscow, Russian Federation",[краткое описание не найдено],,,,"Ashgate Publishing Ltd",,,,,,9780754676713,,"English","Mak. Global Economic Gov. Effective: Hard and Soft Law Institutions in a Crowded World",Book Chapter,Scopus,2-s2.0-84900056851
"Zykov S.V.","The integrated methodology of pattern-based enterprise application development and maintenance",2010,"2010 6th Central and Eastern European Software Engineering Conference, CEE-SECR 2010",,, 5783179,"214","219",,,10.1109/CEE-SECR.2010.5783179,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959680235&doi=10.1109%2fCEE-SECR.2010.5783179&partnerID=40&md5=fffdc35b480e384c64a828f3f33fbc7a","State University - Higher School of Economics, Moscow, Russian Federation","Zykov, S.V., State University - Higher School of Economics, Moscow, Russian Federation","The problem of building and maintaining distributed large-scale software applications is really a serious challenge. The processes concerned are hampered by the avalanche of bulky data, which is heterogeneous in structure and architecture. Therewith, an integral methodological approach (which includes not only CASE-level software and technologies, but also rigorous and uniform mathematical models) is required to conquer the complexity and challenges. The approach embraces the entire enterprise software development lifecycle. The methodology suggested simplifies system maintenance due to component-level metadata pattern management, which increase high artifacts reuse, and easily adapt to changeable business requirements. The paper presents the approach outline, and discusses a number of successful implementations based on the pattern management methodology. © 2010 IEEE.","data model; development pattern; Enterprise application; lifecycle management","Business requirement; development pattern; Enterprise application development; Enterprise applications; Enterprise software; Integrated methodology; Large-scale software applications; lifecycle management; Methodological approach; System maintenance; Computer software maintenance; Life cycle; Maintainability; Mathematical models; Metadata; Software design",,,"2010 6th Central and Eastern European Software Engineering Conference, CEE-SECR 2010","13 October 2010 through 15 October 2010","Moscow",85262,,9781457706066,,"English","Cent. East. Eur. Softw. Eng. Conf., CEE-SECR",Conference Paper,Scopus,2-s2.0-79959680235
"Pankratieva V.V., Kuznetsov S.O.","Relations between proto-fuzzy concepts, crisply generated fuzzy concepts, and interval pattern structures",2010,"CEUR Workshop Proceedings","672",,,"50","59",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960303054&partnerID=40&md5=abf1cd34bf48eb2cae03371298b3f0b8","State University Higher School of Economics, Pokrovskiy bd., 11, Moscow 101000, Russian Federation","Pankratieva, V.V., State University Higher School of Economics, Pokrovskiy bd., 11, Moscow 101000, Russian Federation; Kuznetsov, S.O., State University Higher School of Economics, Pokrovskiy bd., 11, Moscow 101000, Russian Federation","Relationships between proto-fuzzy concepts, crisply generated fuzzy concepts, and pattern structures are considered. It is shown that proto-fuzzy concepts are closely related to crisply generated fuzzy concepts in the sense that the mappings involved in the definitions coincide for crisp subsets of attributes. Moreover, a proto-fuzzy concept determines a crisp subset of attributes, which generates a (crisply generated) fuzzy concept. However, the reverse is true only in part: given a crisp subset of attributes, one can find a proto-fuzzy concept whose intent includes (but not necessarily coincides with) the given subset of attributes. Interval pattern concepts are shown to be related to crisply generated formal concepts. In particular, every crisply closed subset of objects is an extent of an interval pattern concept.",,"Closed subsets; Crisply generated fuzzy concepts; Formal concepts; Fuzzy concept; Interval pattern concepts; Pattern structure; Proto-fuzzy concepts; Information analysis; Textile printing; Set theory",,,"7th International Conference on Concept Lattices and Their Applications, CLA 2010","19 October 2010 through 21 October 2010","Sevilla",101336,16130073,,,"English","CEUR Workshop Proc.",Conference Paper,Scopus,2-s2.0-79960303054
"Grinkrug E.M., Shakurov A.R.","Component architecture with runtime type definition",2010,"Proceedings of IEEE East-West Design and Test Symposium, EWDTS'10",,, 5742123,"315","318",,,10.1109/EWDTS.2010.5742123,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955959988&doi=10.1109%2fEWDTS.2010.5742123&partnerID=40&md5=1068630bc5f3473edcd2dc12ffe8d419","Business Informatics Department, Higher School of Economics, Moscow, Russian Federation","Grinkrug, E.M., Business Informatics Department, Higher School of Economics, Moscow, Russian Federation; Shakurov, A.R., Business Informatics Department, Higher School of Economics, Moscow, Russian Federation","The component-based approach to software design and development is being focused on. By analyzing the main ideas of this approach, their currently existing implementations, their limitations and promising lines of development we suggest a new component architecture which extends capabilities of existing component technologies. The main principles for building such architecture are described. © 2010 IEEE.","Runtime environment; software architecture; software engineering; software reusability","Component architectures; Component based approach; Component technologies; New components; Run-time types; Runtime environments; Software design and development; software reusability; Computer software reusability; Reusability; Software design; Software testing; Software architecture","IEEE Computer Society Test Technology Technical Council",,"IEEE East-West Design and Test Symposium, EWDTS'10","17 September 2010 through 20 September 2010","St. Petersburg",84788,,9781424495566,,"English","Proc. IEEE East-West Des. Test Symp., EWDTS",Conference Paper,Scopus,2-s2.0-79955959988
"Karpov A.","Impossibility theorem in proportional representation problem",2010,"AIP Conference Proceedings","1281",,,"2155","2157",,,10.1063/1.3498394,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954513096&doi=10.1063%2f1.3498394&partnerID=40&md5=fad9595f6d6821bd8aea1eb51f5f3bc6","National Research University, Higher School of Economics, Pokrovsky boulevard, 11, 101990 Moscow, Russian Federation","Karpov, A., National Research University, Higher School of Economics, Pokrovsky boulevard, 11, 101990 Moscow, Russian Federation","The study examines general axiomatics of Balinski and Young and analyzes existed proportional representation methods using this approach. The second part of the paper provides new axiomatics based on rational choice models. New system of axioms is applied to study known proportional representation systems. It is shown that there is no proportional representation method satisfying a minimal set of the axioms (monotonicity and neutrality). © 2010 American Institute of Physics.","axiomatics; impossibility theorem; Proportional representation",,"Eur. Soc. Comput. Methods Sci. Eng. (ESCMSE)",,"International Conference on Numerical Analysis and Applied Mathematics 2010, ICNAAM-2010","19 September 2010 through 25 September 2010","Rhodes",,0094243X,,,"English","AIP Conf. Proc.",Conference Paper,Scopus,2-s2.0-79954513096
"Alieva O.","Elenchus and diairesis in plato's sophist",2010,"Hermathena",,"189",,"71","91",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892774935&partnerID=40&md5=76e0ff90a4df2247d1cb3924205cc494","National Research University, Higher School of Economics, Russian Federation","Alieva, O., National Research University, Higher School of Economics, Russian Federation",[краткое описание не найдено],,,,,,,,,00180750,,,"English","Hermathena",Article,Scopus,2-s2.0-84892774935
"Strok F., Neznanov A.","Comparing and analyzing the computational complexity of FCA algorithms",2010,"ACM International Conference Proceeding Series",,,,"417","420",,6,10.1145/1899503.1899557,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885228226&doi=10.1145%2f1899503.1899557&partnerID=40&md5=282350f0b968f1ab80432358553744c8","State University - Higher School of Economics, Myasnitskaya 20, 101000, Moscow, Russian Federation","Strok, F., State University - Higher School of Economics, Myasnitskaya 20, 101000, Moscow, Russian Federation; Neznanov, A., State University - Higher School of Economics, Myasnitskaya 20, 101000, Moscow, Russian Federation","We introduce results of efficiency comparative analysis of algorithms for building the sets of formal concepts. The main goals of research are ascertainment current state of algorithmization of basic tasks in Formal Concept Analysis (FCA), discovering most efficient implementations of algorithms, negotiation of common view on the future of computer aided FCA task solving. Using integrated research environment ""Graph Model Workshop"" we practically estimate the asymptotic computational complexity on different collections of formal contexts with increasing number of objects and attributes. One of the results is construction of database of comparative analysis. We plan to expand database and invite all concerned researchers to participate in this process. © 2010 ACM.","algorithm; computational complexity; formal concept analysis; implementation","Algorithmization; Comparative analysis; Comparative analysis of algorithms; Efficient implementation; Formal concept analyses (FCA); Formal contexts; implementation; Integrated research; Algorithms; Computational complexity; Computer science; Engineers; Information analysis; Information technology; Research; Formal concept analysis","Association for Computing Machinery (ACM);Microsoft;Meraka Institute;Council for Scientific and Industrial Research (CSIR);International Federation for Information Processing (IFIP)",,"2010 Annual Research Conference of the South African Institute of Computer Scientist and Information Technologists, SAICSIT 2010","11 October 2010 through 13 October 2010","Bela Bela",99967,,9781605589503,,"English","ACM Int. Conf. Proc. Ser.",Conference Paper,Scopus,2-s2.0-84885228226
"Sykiainen L.R.","Said Nursi's approach to justice and its role for political reforms in the Muslim world",2010,"Theodicy and Justice in Modern Islamic Thought: The Case of Said Nursi",,,,"181","195",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901080227&partnerID=40&md5=9399ba05877b995b6cf30c9e916cc935","Higher School of Economics, State University, Moscow, Russian Federation","Sykiainen, L.R., Higher School of Economics, State University, Moscow, Russian Federation",[краткое описание не найдено],,,,"Ashgate Publishing Ltd",,,,,,9781409406181,,"English","Theodicy and Justice in Modern Islamic Thought: The Case of Said Nursi",Book Chapter,Scopus,2-s2.0-84901080227
